co_curso,no_curso,label
1270379,cabo_de_santo_agostinho_bacharelado_engenharia_civil,3
1270380,cabo_de_santo_agostinho_bacharelado_engenharia_eletronica,3
1270381,cabo_de_santo_agostinho_bacharelado_engenharia_eletrica,3
1270382,cabo_de_santo_agostinho_bacharelado_engenharia_mecanica,3
118418,recife_bacharelado_administracao,4
14502,recife_bacharelado_agronomia,0
1102628,recife_bacharelado_ciencia_da_computacao,0
14506,recife_bacharelado_ciencias_biologicas,4
14512,recife_licenciatura_ciencias_biologicas,0
14515,recife_bacharelado_ciencias_economicas,4
14513,recife_bacharelado_ciencias_sociais,4
43917,recife_licenciatura_computacao,0
1102627,recife_licenciatura_educacao_fisica,0
14503,recife_bacharelado_engenharia_florestal,3
14510,recife_licenciatura_fisica,3
14514,recife_licenciatura_historia,4
118382,recife_licenciatura_letras_-_portugues_e_espanhol,4
14505,recife_licenciatura_matematica,0
14507,recife_bacharelado_medicina_veterinaria,4
91975,recife_licenciatura_pedagogia,0
14511,recife_licenciatura_quimica,0
118420,recife_bacharelado_sistema_de_informacao,4
14508,recife_bacharelado_zootecnia,0
118472,serra_talhada_bacharelado_administracao,3
101452,serra_talhada_bacharelado_agronomia,4
101834,serra_talhada_bacharelado_ciencias_biologicas,3
101836,serra_talhada_bacharelado_ciencias_economicas,3
118478,serra_talhada_licenciatura_letras_-_portugues_e_ingles,4
101800,serra_talhada_licenciatura_quimica,3
101830,serra_talhada_bacharelado_sistema_de_informacao,3
118474,serra_talhada_bacharelado_zootecnia,3
