CO_CURSO;NO_CURSO
1516690;Engenharia De Computação
1516692;Engenharia De Controle E Automação
1516689;Engenharia Hídrica
1516693;Engenharia Química
1270379;Engenharia Civil
1270383;Engenharia De Materiais
1270380;Engenharia Eletrônica
1270381;Engenharia Elétrica
1270382;Engenharia Mecânica
118418;Administração
1467721;Agroecologia
14502;Agronomia
1557116;Aqüicultura
1102628;Ciência Da Computação
103084;Ciências Agrícolas
14506;Ciências Biológicas
14512;Ciências Biológicas
1377529;Ciências Do Consumo
14515;Ciências Econômicas
14513;Ciências Sociais
43917;Computação
14500;Economia Doméstica
1102627;Educação Física
57872;Engenharia Agrícola E Ambiental
1448711;Engenharia Ambiental
14504;Engenharia De Pesca
14503;Engenharia Florestal
14510;Física
92075;Gastronomia
14514;História
118382;Letras - Português E Espanhol
14505;Matemática
14507;Medicina Veterinária
91975;Pedagogia
14511;Química
118420;Sistema De Informação
14508;Zootecnia
118472;Administração
101452;Agronomia
101834;Ciências Biológicas
101836;Ciências Econômicas
101832;Engenharia De Pesca
118478;Letras - Português E Inglês
101800;Química
101830;Sistema De Informação
118474;Zootecnia
